# L0 static pinned experts (global greedy) under 0.247 GiB
# format: <layer>: <expert_id>,...  (per-layer top-K, freq 降序)
0: 
1: 
2: 158
3: 251,199,22,202
4: 154,152,197,54
5: 122,158
6: 102,196,79
7: 174,199,187,147,132,234,76,79,246
8: 53,117,206,56,171
9: 61,233,207,250,134,197,95
10: 205,63,116,146,171
11: 111,107,170,141,10
12: 2,176,244,226,50,56
13: 40,98,166,28,154,47
14: 252,194,132,76,73,48,138,52,96,72,51
15: 206,3,30,80,197,230,181
16: 153,173,121,31,122,170,178,169
17: 117,199,43,120,60,35
18: 198,212,91,73,106,192,208,13
19: 59,236,137,4,43,27,211,33
20: 53,206,117,171,126,182,143
21: 233,134,250,61,125,207,245,95
22: 205,122,235,53,66,31,63
23: 107,111,2,170,141,10
24: 2,80,139,150,1,7,50
25: 40,98,166,131
26: 194,76,252,72,138,52,5,137
27: 206,30,80,197,3
28: 153,121,71,45,130,178
29: 199,120,204,117,60
30: 198,212,106,192,218,73,13
31: 137,33,236,27
32: 80,156,178
33: 202,81,49,127
34: 59,181
35: 89,254,1,167
36: 10,12,118,131,98
37: 103,11,235,200,58
38: 94,127,205,209,92,118
39: 89,70
